lead_time_id,item_no,pr_date,po_date,rcpt_date,pr_to_rcpt_lead_time_days,po_to_rcpt_lead_time_days
10094,ENG0020,2022-02-14,2022-03-03,2023-03-13,392,375
10095,ENG0020,2022-03-21,2022-04-04,2023-05-27,432,418
10096,ENG0020,2022-04-07,2022-05-17,2023-11-21,593,553
10097,ENG0020,2022-07-05,2022-07-25,2023-04-18,287,267
10098,ENG0020,2022-09-08,2022-09-26,2023-06-08,273,255
10099,ENG0020,2022-09-13,2022-10-11,2023-02-28,168,140
10100,ENG0020,2022-09-27,2022-10-17,2023-04-13,198,178
10101,ENG0020,2023-01-16,2023-02-23,2023-07-04,169,131
10102,ENG0020,2023-02-28,2023-03-17,2024-05-22,449,432
10785,ENG0014,2020-07-02,2020-07-16,2020-08-25,54,40
10786,ENG0014,2022-06-10,2022-07-12,2022-07-20,40,8
10787,ENG0014,2024-01-23,2024-02-08,2024-10-22,273,257
10788,ENG0014,2024-02-27,2024-04-12,2024-05-22,85,40
10789,ENG0014,2025-07-29,2025-08-14,2025-09-02,35,19
10790,ENG0014,2026-02-18,2026-03-12,2026-04-14,55,33
13049,ENG0023,2020-01-31,2020-02-12,2020-07-04,155,143
13050,ENG0023,2020-08-24,2020-09-22,2020-11-21,89,60
13051,ENG0023,2021-01-23,2021-02-11,2021-04-22,89,70
13052,ENG0023,2021-05-13,2021-07-02,2021-09-28,138,88
13053,ENG0023,2021-10-13,2021-11-03,2022-04-21,190,169
13054,ENG0023,2022-08-05,2022-10-12,2022-12-10,127,59
13055,ENG0023,2022-11-28,2023-02-15,2023-10-17,323,244
13056,ENG0023,2023-01-16,2023-02-07,2023-04-10,84,62
13057,ENG0023,2023-05-29,2023-06-16,2023-10-02,126,108
13058,ENG0023,2023-10-10,2023-12-01,2024-01-20,102,50
13059,ENG0023,2023-11-06,2023-12-14,2024-03-19,134,96
13060,ENG0023,2024-02-07,2024-02-15,2024-04-29,82,74
13061,ENG0023,2024-03-09,2024-03-21,2024-07-31,144,132
13062,ENG0023,2024-07-08,2024-12-04,2025-03-11,246,97
13063,ENG0023,2025-06-16,2025-06-26,2025-09-08,84,74
13064,ENG0023,2025-08-30,2025-09-11,2025-11-06,68,56
13065,ENG0023,2025-09-15,2025-10-20,2025-12-20,96,61
13066,ENG0023,2025-11-10,2025-11-25,2026-01-08,59,44
13067,ENG0023,2026-02-09,2026-03-05,2026-05-15,95,71
13243,ENG0044,2020-02-11,2020-03-05,2021-08-21,557,534
13244,ENG0044,2021-02-10,2021-03-18,2022-05-04,448,412
13245,ENG0044,2023-08-24,2023-10-19,2024-04-07,227,171
13246,ENG0044,2025-02-03,2025-03-05,2025-09-27,236,206
13249,ENG0006,2020-02-13,2020-03-07,2021-10-02,597,574
13250,ENG0006,2020-10-08,2020-10-21,2022-04-20,559,546
13251,ENG0006,2021-02-10,2021-03-13,2022-11-03,631,600
13252,ENG0006,2021-04-08,2021-04-21,2022-12-21,622,609
13253,ENG0006,2021-06-04,2021-06-19,2022-12-29,573,558
13254,ENG0006,2021-06-04,2021-06-19,2022-08-20,442,427
13255,ENG0006,2021-10-08,2022-01-13,2023-03-04,512,415
13256,ENG0006,2022-04-30,2022-05-31,2023-08-23,480,449
13257,ENG0006,2022-06-24,2022-07-21,2023-03-11,260,233
13258,ENG0006,2022-09-07,2022-09-26,2023-04-13,218,199
13259,ENG0006,2022-11-24,2022-12-15,2023-06-29,217,196
13260,ENG0006,2023-01-28,2023-02-24,2023-11-04,280,253
13261,ENG0006,2023-03-07,2023-04-18,2024-07-09,490,448
13262,ENG0006,2023-12-09,2024-02-06,2024-06-12,186,127
13263,ENG0006,2025-01-30,2025-02-08,2025-10-18,261,252
13264,ENG0006,2025-04-10,2025-05-03,2025-10-25,198,175
13265,ENG0006,2025-08-01,2025-09-05,2026-03-03,214,179
13266,ENG0006,2025-08-28,2025-09-23,2026-03-04,188,162
13267,ENG0006,2025-11-14,2025-12-15,2026-06-15,213,182
15034,ENG0035,2020-10-08,2020-12-15,2021-07-02,267,199
15035,ENG0035,2022-08-29,2022-10-13,2023-02-17,172,127
15036,ENG0035,2023-05-03,2023-05-31,2024-01-15,257,229
15037,ENG0035,2024-03-30,2024-05-31,2025-01-30,306,244
15062,ENG0030,2019-11-14,2020-01-16,2020-08-24,284,221
15063,ENG0030,2020-02-10,2020-07-22,2021-08-02,539,376
15064,ENG0030,2020-02-13,2020-03-03,2020-03-19,35,16
15065,ENG0030,2020-11-17,2020-11-25,2021-01-13,57,49
15066,ENG0030,2021-01-16,2021-02-26,2021-03-16,59,18
15067,ENG0030,2021-02-19,2021-05-06,2021-11-25,279,203
15068,ENG0030,2022-03-04,2022-04-04,2022-04-19,46,15
15069,ENG0030,2022-06-22,2022-07-28,2022-08-18,57,21
15070,ENG0030,2022-09-18,2022-11-02,2022-12-13,86,41
15071,ENG0030,2022-10-18,2022-11-14,2022-12-05,48,21
15072,ENG0030,2022-11-14,2023-01-12,2023-02-08,86,27
15073,ENG0030,2022-11-15,2023-01-04,2023-01-30,76,26
15074,ENG0030,2023-05-18,2023-07-16,2023-08-08,82,23
15075,ENG0030,2023-07-24,2023-09-29,2023-10-31,99,32
15076,ENG0030,2023-09-27,2023-10-31,2023-11-22,56,22
15077,ENG0030,2025-01-03,2025-02-03,2025-03-03,59,28
15078,ENG0030,2025-04-08,2025-04-25,2025-07-04,87,70
15079,ENG0030,2025-06-10,2025-06-23,2025-10-30,142,129
15080,ENG0030,2025-07-11,2025-07-24,2026-02-04,208,195
15081,ENG0030,2025-09-06,2025-09-26,2025-12-02,87,67
15855,ENG0041,2020-09-09,2020-12-07,2021-01-23,136,47
15856,ENG0041,2021-02-18,2021-10-07,2021-12-15,300,69
15857,ENG0041,2022-11-28,2023-01-23,2023-02-27,91,35
15858,ENG0041,2023-02-12,2023-04-18,2023-05-16,93,28
15936,ENG0031,2020-02-19,2020-08-04,2021-04-05,411,244
15937,ENG0031,2020-09-29,2021-02-16,2021-11-13,410,270
15938,ENG0031,2021-08-19,2021-09-28,2022-12-05,473,433
15939,ENG0031,2022-10-19,2022-11-25,2023-11-28,405,368
15940,ENG0031,2024-03-12,2024-05-20,2025-01-30,324,255
15941,ENG0031,2024-10-10,2024-11-18,2025-05-03,205,166
15942,ENG0031,2025-09-09,2025-09-23,2026-02-27,171,157
17425,ENG0022,2019-12-23,2020-02-29,2021-02-08,413,345
17426,ENG0022,2020-10-09,2020-11-04,2021-12-10,427,401
17427,ENG0022,2023-01-16,2023-03-14,2023-10-03,260,203
17428,ENG0022,2024-08-16,2024-09-16,2025-02-18,186,155
17429,ENG0022,2025-01-08,2025-02-17,2025-08-08,212,172
17430,ENG0022,2025-10-06,2025-11-05,2026-05-23,229,199
17714,ENG0027,2020-09-29,2020-12-16,2021-04-16,199,121
17715,ENG0027,2021-02-19,2021-05-14,2021-12-21,305,221
17716,ENG0027,2022-05-03,2022-05-31,2023-01-21,263,235
17717,ENG0027,2022-11-14,2022-11-29,2023-07-15,243,228
17718,ENG0027,2023-06-08,2023-08-31,2024-06-11,369,285
17719,ENG0027,2024-05-29,2024-07-16,2024-10-23,147,99
17720,ENG0027,2025-07-11,2025-07-30,2025-12-16,158,139
17721,ENG0027,2025-08-02,2025-08-22,2026-02-21,203,183
18146,ENG0026,2020-10-08,2020-10-22,2021-08-18,314,300
18147,ENG0026,2023-12-09,2024-02-06,2024-07-15,219,160
18148,ENG0026,2024-07-03,2024-08-10,2025-01-02,183,145
18149,ENG0026,2025-01-27,2025-02-08,2026-03-19,416,404
18150,ENG0026,2025-01-30,2025-02-08,2025-10-21,264,255
18151,ENG0026,2025-05-28,2025-06-13,2025-12-03,189,173
20434,ENG0036,2020-02-27,2020-05-28,2020-12-21,298,207
20435,ENG0036,2021-05-14,2021-07-05,2021-12-13,213,161
20436,ENG0036,2023-05-25,2023-08-25,2024-04-23,334,242
20437,ENG0036,2025-06-03,2025-06-26,2026-02-27,269,246
21035,ENG0025,2019-12-17,2020-01-21,2020-09-15,273,238
21036,ENG0025,2020-02-13,2020-03-07,2021-10-02,597,574
21037,ENG0025,2020-02-13,2020-03-07,2022-07-21,889,866
21038,ENG0025,2021-04-08,2021-04-21,2022-12-21,622,609
21039,ENG0025,2021-11-24,2022-01-15,2023-10-27,702,650
21040,ENG0025,2022-09-13,2022-10-10,2023-03-14,182,155
21041,ENG0025,2022-09-13,2022-10-11,2023-02-28,168,140
21042,ENG0025,2023-04-15,2023-04-26,2023-10-23,191,180
21043,ENG0025,2023-07-07,2023-07-15,2023-12-15,161,153
21044,ENG0025,2023-09-04,2023-09-19,2024-06-17,287,272
21045,ENG0025,2023-10-11,2023-11-28,2024-06-30,263,215
21046,ENG0025,2023-11-17,2023-12-07,2024-10-11,329,309
21047,ENG0025,2023-12-14,2024-02-07,2024-10-13,304,249
21048,ENG0025,2024-05-28,2024-06-04,2024-11-12,168,161
21049,ENG0025,2024-07-16,2024-08-16,2025-05-21,309,278
21050,ENG0025,2024-09-04,2024-09-23,2025-05-05,243,224
21051,ENG0025,2025-01-11,2025-01-29,2025-09-29,261,243
21052,ENG0025,2025-01-20,2025-02-06,2025-11-25,309,292
21053,ENG0025,2025-01-27,2025-02-08,2025-08-22,207,195
21054,ENG0025,2025-02-13,2025-03-14,2025-10-20,249,220
21055,ENG0025,2025-02-24,2025-03-15,2025-10-23,241,222
21056,ENG0025,2025-04-07,2025-05-03,2025-10-31,207,181
21057,ENG0025,2025-11-11,2025-12-13,2026-05-05,175,143
21058,ENG0025,2025-11-26,2026-02-24,2026-06-15,201,111
21309,ENG0016,2020-02-04,2020-05-08,2022-04-04,790,696
21310,ENG0016,2020-10-08,2020-11-09,2022-05-07,576,544
21311,ENG0016,2021-07-24,2021-10-28,2023-03-17,601,505
21312,ENG0016,2023-01-26,2023-04-11,2023-12-31,339,264
21449,ENG0003,2020-02-13,2020-03-07,2021-10-02,597,574
21450,ENG0003,2020-06-14,2020-06-24,2021-08-18,430,420
21451,ENG0003,2020-07-02,2020-07-22,2021-12-16,532,512
21452,ENG0003,2020-10-08,2020-10-21,2022-04-20,559,546
21453,ENG0003,2021-02-10,2021-03-13,2022-11-03,631,600
21454,ENG0003,2021-06-04,2021-06-19,2022-12-29,573,558
21455,ENG0003,2021-10-08,2022-01-13,2023-01-19,468,371
21456,ENG0003,2021-10-08,2022-01-13,2023-03-04,512,415
21457,ENG0003,2022-01-13,2022-01-29,2022-12-29,350,334
21458,ENG0003,2022-02-14,2022-03-03,2023-03-13,392,375
21459,ENG0003,2022-03-21,2022-04-04,2023-05-27,432,418
21460,ENG0003,2022-04-07,2022-05-17,2023-11-21,593,553
21461,ENG0003,2022-04-20,2022-04-26,2022-09-27,160,154
21462,ENG0003,2022-04-30,2022-05-31,2023-08-23,480,449
21463,ENG0003,2022-05-07,2022-06-01,2023-11-21,563,538
21464,ENG0003,2022-06-03,2022-06-22,2023-09-27,481,462
21465,ENG0003,2022-06-13,2022-07-07,2022-07-27,44,20
21466,ENG0003,2022-07-05,2022-07-25,2024-02-13,588,568
21467,ENG0003,2022-07-19,2022-08-23,2024-02-13,574,539
21468,ENG0003,2022-07-19,2022-08-23,2022-09-07,50,15
21469,ENG0003,2022-08-24,2022-09-16,2024-02-29,554,531
21470,ENG0003,2022-09-08,2022-09-26,2024-05-03,603,585
21471,ENG0003,2022-09-19,2022-10-17,2024-05-21,610,582
21472,ENG0003,2022-11-21,2022-12-14,2024-06-17,574,551
21473,ENG0003,2022-12-23,2023-02-10,2024-09-21,638,589
21474,ENG0003,2023-01-17,2023-02-23,2024-07-23,553,516
21475,ENG0003,2023-03-07,2023-04-18,2024-07-09,490,448
21476,ENG0003,2023-05-09,2023-05-23,2024-07-09,427,413
21477,ENG0003,2023-05-25,2023-06-27,2024-09-26,490,457
21478,ENG0003,2023-09-20,2023-10-17,2024-11-20,427,400
21802,ENG0038,2021-03-16,2021-05-05,2021-07-28,134,84
21803,ENG0038,2021-09-04,2021-09-21,2023-04-22,595,578
22756,ENG0040,2020-01-28,2020-03-02,2021-09-07,588,554
22757,ENG0040,2023-02-28,2023-03-17,2024-01-19,325,308
22758,ENG0040,2023-05-25,2023-06-15,2024-01-12,232,211
22759,ENG0040,2023-10-05,2023-10-26,2024-08-16,316,295
22760,ENG0040,2025-11-12,2025-12-13,2026-05-06,175,144
22761,ENG0040,2025-11-13,2025-12-15,2026-05-05,173,141
24514,ENG0005,2020-02-13,2020-03-07,2021-10-02,597,574
24515,ENG0005,2020-06-14,2020-06-24,2021-08-18,430,420
24516,ENG0005,2020-10-08,2020-10-21,2022-04-20,559,546
24517,ENG0005,2021-02-10,2021-03-13,2022-11-03,631,600
24518,ENG0005,2021-10-08,2022-01-13,2023-01-19,468,371
24519,ENG0005,2021-10-08,2022-01-13,2023-03-04,512,415
24520,ENG0005,2022-02-14,2022-03-03,2023-03-13,392,375
24521,ENG0005,2022-04-20,2022-04-26,2022-09-27,160,154
24522,ENG0005,2022-04-30,2022-05-31,2023-08-23,480,449
24523,ENG0005,2022-06-02,2022-06-21,2023-03-17,288,269
24524,ENG0005,2022-06-03,2022-06-22,2023-09-27,481,462
24525,ENG0005,2022-06-13,2022-07-05,2023-08-26,439,417
24526,ENG0005,2023-02-10,2023-03-16,2023-10-19,251,217
25171,ENG0009,2020-02-13,2020-03-07,2022-07-21,889,866
25172,ENG0009,2021-06-04,2021-06-19,2022-08-20,442,427
25173,ENG0009,2021-11-10,2021-11-20,2023-12-15,765,755
25174,ENG0009,2021-11-25,2022-01-18,2023-03-13,473,419
25175,ENG0009,2022-03-04,2022-03-21,2022-10-12,222,205
25176,ENG0009,2022-04-01,2022-04-20,2023-05-26,420,401
25177,ENG0009,2022-04-28,2022-05-31,2023-01-19,266,233
25178,ENG0009,2023-02-28,2023-03-17,2023-12-13,288,271
25179,ENG0009,2025-02-04,2025-03-05,2026-04-21,441,412
25180,ENG0009,2025-02-24,2025-03-15,2025-10-23,241,222
25181,ENG0009,2025-03-07,2025-03-28,2025-10-25,232,211
25182,ENG0009,2025-04-07,2025-05-03,2025-12-12,249,223
26828,ENG0008,2019-12-23,2020-02-29,2020-12-09,352,284
26829,ENG0008,2020-10-09,2020-10-21,2021-05-27,230,218
26830,ENG0008,2021-09-08,2021-09-23,2022-05-07,241,226
26831,ENG0008,2022-03-09,2022-04-11,2022-07-31,144,111
26832,ENG0008,2023-01-16,2023-03-13,2023-09-04,231,175
26833,ENG0008,2023-10-28,2023-12-04,2024-06-02,218,181
26834,ENG0008,2024-08-02,2024-09-03,2025-02-08,190,158
26835,ENG0008,2025-01-08,2025-02-17,2025-07-31,204,164
26836,ENG0008,2025-05-14,2025-05-30,2025-12-10,210,194
26837,ENG0008,2025-10-10,2025-11-17,2026-05-23,225,187
27103,ENG0032,2020-02-13,2020-03-07,2021-10-02,597,574
27104,ENG0032,2022-12-03,2023-01-10,2023-11-03,335,297
27105,ENG0032,2023-07-07,2023-07-15,2024-11-16,498,490
27106,ENG0032,2024-03-22,2024-04-24,2024-12-10,263,230
27107,ENG0032,2025-01-22,2025-02-06,2025-08-30,220,205
27743,ENG0001,2019-12-17,2020-01-21,2020-09-15,273,238
27744,ENG0001,2020-02-13,2020-03-07,2022-07-21,889,866
27745,ENG0001,2022-02-01,2022-02-28,2023-10-10,616,589
27746,ENG0001,2022-04-01,2022-04-20,2023-05-26,420,401
27747,ENG0001,2022-04-08,2022-05-17,2023-12-18,619,580
27748,ENG0001,2022-04-20,2022-05-06,2023-12-14,603,587
27749,ENG0001,2022-05-04,2022-05-31,2023-12-16,591,564
27750,ENG0001,2022-05-06,2022-07-02,2024-01-06,610,553
27751,ENG0001,2022-06-02,2022-06-21,2023-12-15,561,542
27752,ENG0001,2022-06-13,2022-07-04,2024-01-09,575,554
27753,ENG0001,2022-09-07,2022-09-26,2024-02-10,521,502
27754,ENG0001,2022-11-24,2022-12-15,2024-03-14,476,455
27755,ENG0001,2023-02-09,2023-02-25,2024-04-16,432,416
27756,ENG0001,2023-02-10,2023-03-16,2024-05-22,467,433
27757,ENG0001,2023-02-28,2023-03-17,2024-05-22,449,432
27810,ENG0028,2020-02-13,2020-03-07,2022-07-21,889,866
27811,ENG0028,2022-01-18,2022-01-29,2023-06-15,513,502
27812,ENG0028,2022-06-24,2022-07-21,2023-05-10,320,293
27813,ENG0028,2022-08-15,2022-09-06,2022-12-21,128,106
27814,ENG0028,2023-02-11,2023-04-17,2023-10-19,250,185
27815,ENG0028,2023-03-06,2023-04-18,2023-10-19,227,184
27816,ENG0028,2023-05-09,2023-05-23,2023-10-23,167,153
27817,ENG0028,2023-07-24,2023-08-09,2024-05-04,285,269
27818,ENG0028,2023-11-17,2023-12-07,2024-10-11,329,309
27819,ENG0028,2023-12-14,2024-02-07,2024-10-13,304,249
27820,ENG0028,2024-10-31,2024-11-26,2025-04-07,158,132
27821,ENG0028,2024-11-11,2024-11-28,2025-09-29,322,305
27822,ENG0028,2026-01-24,2026-03-02,2026-06-20,147,110
28275,ENG0037,2022-11-17,2022-12-13,2023-12-14,392,366
28276,ENG0037,2022-11-18,2022-12-15,2023-04-25,158,131
30046,ENG0007,2020-02-13,2020-03-07,2022-07-21,889,866
30047,ENG0007,2021-11-25,2022-01-18,2023-03-13,473,419
30048,ENG0007,2022-01-18,2022-01-29,2023-06-15,513,502
30049,ENG0007,2022-02-01,2022-02-28,2023-10-10,616,589
30050,ENG0007,2022-02-14,2022-03-03,2022-12-11,300,283
30051,ENG0007,2022-03-04,2022-03-21,2022-10-12,222,205
30052,ENG0007,2022-08-23,2022-09-06,2023-03-10,199,185
30053,ENG0007,2022-10-21,2022-11-16,2023-12-18,423,397
30054,ENG0007,2022-11-19,2022-12-16,2023-03-21,122,95
30055,ENG0007,2023-09-15,2023-10-03,2024-07-23,312,294
30056,ENG0007,2024-06-07,2024-06-22,2024-11-20,166,151
30057,ENG0007,2024-08-22,2024-09-19,2025-03-15,205,177
30058,ENG0007,2024-12-13,2024-12-18,2025-10-31,322,317
30059,ENG0007,2025-01-20,2025-02-06,2025-11-25,309,292
30060,ENG0007,2025-03-10,2025-03-28,2025-10-25,229,211
30061,ENG0007,2025-04-07,2025-05-03,2025-10-31,207,181
30062,ENG0007,2025-05-28,2025-06-05,2025-11-18,174,166
30063,ENG0007,2025-07-28,2025-08-08,2026-02-04,191,180
30064,ENG0007,2025-10-05,2025-10-17,2026-03-18,164,152
30065,ENG0007,2025-11-26,2026-02-24,2026-06-15,201,111
30066,ENG0007,2026-01-24,2026-03-02,2026-06-20,147,110
31076,ENG0013,2020-02-11,2020-03-05,2021-08-21,557,534
31077,ENG0013,2021-06-04,2021-06-21,2022-05-12,342,325
31078,ENG0013,2023-02-28,2023-03-16,2024-02-29,366,350
31642,ENG0024,2020-01-28,2020-03-02,2021-09-07,588,554
31643,ENG0024,2021-02-10,2021-03-20,2023-04-10,789,751
31644,ENG0024,2021-11-25,2022-01-19,2023-01-26,427,372
31645,ENG0024,2022-03-23,2022-04-19,2023-04-10,383,356
31646,ENG0024,2022-05-07,2022-05-31,2023-05-10,368,344
31647,ENG0024,2022-08-23,2022-09-06,2023-05-10,260,246
31648,ENG0024,2022-11-21,2022-12-14,2024-01-19,424,401
31649,ENG0024,2023-02-11,2023-04-12,2024-06-08,483,423
31650,ENG0024,2023-10-05,2023-10-26,2024-08-16,316,295
31651,ENG0024,2025-01-08,2025-01-27,2025-07-17,190,171
31652,ENG0024,2025-11-12,2025-12-13,2026-05-06,175,144
32235,ENG0034,2019-12-19,2020-01-21,2020-09-15,271,238
32236,ENG0034,2025-01-27,2025-02-08,2026-03-19,416,404
32237,ENG0034,2025-05-28,2025-06-13,2025-12-03,189,173
32732,ENG0043,2020-02-03,2020-03-02,2022-04-18,805,777
32733,ENG0043,2021-11-25,2022-01-19,2023-01-26,427,372
32734,ENG0043,2022-10-07,2022-11-08,2023-06-21,257,225
32735,ENG0043,2024-06-10,2024-06-26,2025-05-03,327,311
32736,ENG0043,2024-06-18,2024-06-29,2025-10-08,477,466
33041,ENG0012,2020-01-24,2020-02-26,2020-05-14,111,78
33042,ENG0012,2020-02-13,2020-06-01,2020-06-23,131,22
33043,ENG0012,2020-02-14,2020-05-05,2021-10-12,606,525
33044,ENG0012,2020-02-22,2020-03-05,2020-06-24,123,111
33045,ENG0012,2020-05-01,2020-05-28,2020-06-23,53,26
33046,ENG0012,2021-02-09,2021-03-26,2022-04-26,441,396
33047,ENG0012,2023-05-24,2023-07-06,2023-07-21,58,15
33048,ENG0012,2023-12-04,2024-01-16,2024-03-25,112,69
33049,ENG0012,2024-01-24,2024-03-04,2024-06-15,143,103
33050,ENG0012,2024-02-29,2024-03-25,2024-11-07,252,227
33051,ENG0012,2024-03-19,2024-04-04,2024-05-28,70,54
33052,ENG0012,2025-04-30,2025-05-26,2025-12-06,220,194
33053,ENG0012,2025-07-08,2025-08-12,2026-03-16,251,216
33104,ENG0018,2019-12-17,2020-01-21,2020-09-15,273,238
33105,ENG0018,2020-02-13,2020-03-07,2021-10-02,597,574
33106,ENG0018,2020-02-13,2020-03-07,2022-07-21,889,866
33107,ENG0018,2022-03-17,2022-03-30,2022-10-24,221,208
33108,ENG0018,2022-06-13,2022-07-02,2023-06-21,373,354
33109,ENG0018,2022-06-13,2022-07-02,2023-11-03,508,489
33110,ENG0018,2022-06-27,2022-07-25,2023-10-04,464,436
33111,ENG0018,2022-12-01,2023-02-09,2024-04-06,492,422
33112,ENG0018,2023-01-09,2023-02-14,2024-04-16,463,427
33113,ENG0018,2023-04-16,2023-05-08,2024-08-07,479,457
33114,ENG0018,2023-10-05,2023-10-25,2024-09-26,357,337
33115,ENG0018,2025-05-28,2025-06-05,2026-02-24,272,264
33116,ENG0018,2025-08-19,2025-09-19,2026-04-20,244,213
33320,ENG0017,2020-02-11,2020-03-24,2022-03-22,770,728
33321,ENG0017,2021-02-10,2021-03-22,2022-04-18,432,392
33322,ENG0017,2021-10-09,2022-01-14,2022-11-12,399,302
33323,ENG0017,2022-05-23,2022-06-14,2023-05-10,352,330
33324,ENG0017,2022-11-28,2022-12-22,2023-06-13,197,173
33325,ENG0017,2024-12-26,2025-01-22,2025-08-06,223,196
33326,ENG0017,2025-03-15,2025-05-09,2025-10-29,228,173
33327,ENG0017,2025-05-03,2025-06-17,2025-12-31,242,197
33328,ENG0017,2025-05-03,2025-06-17,2026-01-03,245,200
33329,ENG0017,2025-10-07,2025-10-27,2026-06-09,245,225
34143,ENG0015,2019-12-05,2020-01-16,2020-02-22,79,37
34144,ENG0015,2019-12-05,2020-01-16,2020-02-22,79,37
34145,ENG0015,2020-01-12,2020-02-04,2020-03-23,71,48
34146,ENG0015,2020-01-19,2020-02-03,2020-03-24,65,50
34147,ENG0015,2020-01-19,2020-02-03,2020-03-23,64,49
34148,ENG0015,2020-02-10,2020-03-04,2020-06-24,135,112
34149,ENG0015,2020-02-13,2020-03-11,2020-05-14,91,64
34150,ENG0015,2020-02-14,2020-05-15,2021-08-31,564,473
34151,ENG0015,2020-03-08,2020-05-24,2020-06-24,108,31
34152,ENG0015,2020-03-15,2020-05-26,2020-06-24,101,29
34153,ENG0015,2020-05-01,2020-05-28,2020-06-24,54,27
34154,ENG0015,2020-05-01,2020-05-28,2020-06-24,54,27
34155,ENG0015,2020-05-01,2020-05-27,2020-06-24,54,28
34156,ENG0015,2020-05-01,2020-06-04,2020-06-23,53,19
34157,ENG0015,2020-05-01,2020-06-11,2020-06-23,53,12
34158,ENG0015,2020-06-15,2020-07-24,2021-05-07,326,287
34159,ENG0015,2021-01-29,2021-03-26,2022-04-26,452,396
34160,ENG0015,2023-01-12,2023-04-14,2023-12-22,344,252
34161,ENG0015,2025-02-27,2025-04-15,2025-10-29,244,197
35563,ENG0011,2021-07-01,2021-07-06,2021-07-22,21,16
35564,ENG0011,2022-11-26,2023-01-12,2023-11-08,347,300
36203,ENG0010,2020-02-13,2020-03-07,2021-10-02,597,574
36204,ENG0010,2020-10-08,2020-10-21,2022-04-20,559,546
36205,ENG0010,2021-02-10,2021-03-13,2022-11-03,631,600
36206,ENG0010,2022-05-07,2022-06-01,2023-11-21,563,538
36207,ENG0010,2022-06-02,2022-06-21,2023-03-17,288,269
36208,ENG0010,2022-06-13,2022-07-05,2023-03-17,277,255
36209,ENG0010,2022-09-07,2022-09-26,2023-04-13,218,199
36210,ENG0010,2023-01-16,2023-02-23,2023-09-01,228,190
36211,ENG0010,2023-02-10,2023-03-16,2023-09-05,207,173
36212,ENG0010,2023-03-07,2023-04-18,2024-07-09,490,448
36213,ENG0010,2023-04-16,2023-05-09,2023-12-15,243,220
36214,ENG0010,2023-04-19,2023-05-11,2023-12-08,233,211
36215,ENG0010,2023-05-09,2023-05-23,2024-07-09,427,413
36216,ENG0010,2023-05-25,2023-06-27,2024-09-26,490,457
36217,ENG0010,2023-07-24,2023-08-09,2024-02-08,199,183
