item_no,year,total_usage_qty,total_usage_value,non_stockout_days,total_inventory_value_days,calendar_days
MNT0008,2026,42.0,302677.84,174,86306423.28,174
MNT0006,2020,23.0,652596.61,175,80161418.57,366
MNT0006,2021,48.0,1376827.29,365,579216248.42,365
MNT0006,2022,72.0,2053052.07,365,835513159.99,365
MNT0006,2023,61.0,1689165.02,365,615271436.36,365
MNT0006,2024,76.0,1214125.3,366,227657623.96,366
MNT0006,2025,86.0,816530.91,365,89315174.78,365
MNT0006,2026,40.0,282049.64,174,86095653.95,174
MNT0028,2020,410.0,89400.0,351,20926200.0,366
MNT0028,2021,790.0,189600.0,333,17371200.0,365
MNT0028,2022,389.0,93360.0,96,2624160.0,365
MNT0028,2023,825.0,192618.85,365,38985215.67,365
MNT0028,2024,691.0,154572.19,366,31352207.08,366
MNT0028,2025,715.0,159940.84,365,41760217.31,365
MNT0028,2026,320.0,71581.91,174,21527365.74,174
MNT0027,2020,10.0,24100.0,366,22615440.0,366
MNT0027,2021,7.0,16870.0,365,20282560.0,365
MNT0027,2022,6.0,14460.0,365,22323830.0,365
MNT0027,2023,27.0,65070.0,365,37692400.0,365
MNT0027,2024,10.0,26772.42,366,64145899.29,366
MNT0027,2025,12.0,36937.26,365,63892224.61,365
MNT0027,2026,20.0,61562.1,174,24766432.83,174
MNT0016,2020,100.0,1035231.18,213,177195771.38,366
MNT0016,2021,199.0,2568373.6,83,212542595.2,365
MNT0016,2022,5.0,64532.0,365,1961411420.8,365
MNT0016,2023,117.0,1488345.47,365,2185073896.25,365
MNT0016,2024,163.0,2050142.56,366,1764493556.86,366
MNT0016,2025,177.0,2819008.31,365,4904397765.04,365
MNT0016,2026,169.0,2981874.08,174,2438520161.73,174
MNT0030,2020,48.0,32473.76,366,177188339.18,366
MNT0030,2021,66.0,44651.42,365,169755907.21,365
MNT0030,2022,355.0,240170.79,365,120569794.47,365
MNT0030,2023,271.0,183341.66,365,25100894.51,365
MNT0030,2024,242.0,154632.92,348,21119976.38,366
MNT0030,2025,189.0,144658.62,365,49754936.37,365
MNT0030,2026,21.0,13361.1,174,18150733.46,174
MNT0014,2020,150.0,67664.57,129,-12285624.99,366
MNT0014,2021,108.0,50585.83,365,30050366.84,365
MNT0014,2022,421.0,206290.0,365,32932410.0,365
MNT0014,2023,408.0,201804.05,340,27967918.1,365
MNT0014,2024,365.0,188610.07,366,42831799.53,366
MNT0014,2025,343.0,178267.63,365,55408134.27,365
MNT0014,2026,123.0,63939.94,174,21303436.41,174
MNT0019,2020,56.0,567750.76,366,317494332.94,366
MNT0019,2021,42.0,425813.07,365,549126502.59,365
MNT0019,2022,257.0,2605570.34,365,4195708446.83,365
MNT0019,2023,553.0,5639095.67,365,3579331936.45,365
MNT0019,2024,643.0,7017426.87,366,2480403929.72,366
MNT0019,2025,535.0,5923346.45,365,1319065191.68,365
MNT0019,2026,8.0,95364.33,174,924342566.96,174
MNT0015,2020,64.0,700136.08,366,564222164.5,366
MNT0015,2021,102.0,1115841.88,365,229830607.58,365
MNT0015,2022,28.0,306309.53,365,221855619.13,365
MNT0015,2023,80.0,876438.82,314,107107985.79,365
MNT0015,2024,94.0,1079920.4,322,124278856.16,366
MNT0015,2025,121.0,1688939.72,306,190543108.35,365
MNT0015,2026,58.0,809574.41,174,45685121.5,174
MNT0041,2020,5.0,3880.02,165,763588.6,366
MNT0041,2021,2.0,1552.01,365,10254901.71,365
MNT0041,2022,10.0,8090.31,365,44547472.29,365
MNT0041,2023,7.0,6202.65,365,48289372.62,365
MNT0041,2024,11.0,9747.02,366,45823377.72,366
MNT0041,2025,9.0,7974.83,365,42147869.1,365
MNT0041,2026,7.0,6202.65,174,19031498.58,174
MNT0039,2020,7.0,861819.78,366,352976760.1,366
MNT0039,2021,9.0,1108054.01,365,435834576.48,365
MNT0039,2022,4.0,492468.45,365,847168847.67,365
MNT0039,2023,5.0,615585.56,365,574710678.82,365
MNT0039,2024,3.0,369351.34,366,429309369.54,366
MNT0039,2025,1.0,123117.11,365,401977370.68,365
MNT0039,2026,3.0,369351.34,174,151434047.76,174
MNT0024,2020,30.0,1200630.0,366,212151321.0,366
MNT0024,2021,18.0,720378.0,339,120343147.0,365
MNT0024,2022,18.0,720378.0,365,222156571.0,365
MNT0024,2023,20.0,800420.0,233,114139892.0,365
MNT0024,2024,48.0,1921008.0,366,695885148.0,366
MNT0024,2025,15.0,600315.0,365,524555247.0,365
MNT0024,2026,20.0,800420.0,174,148637994.0,174
MNT0012,2020,11.0,7043.35,366,21624373.19,366
MNT0012,2021,39.0,24054.34,365,19820425.83,365
MNT0012,2022,76.0,32486.6,365,6684493.65,365
MNT0012,2023,67.0,36605.62,365,4490763.51,365
MNT0012,2024,88.0,61594.32,366,14656191.65,366
MNT0012,2025,91.0,69366.29,356,32722406.73,365
MNT0012,2026,45.0,31250.7,174,19957905.7,174
MNT0029,2020,5.0,19725.93,366,41815017.83,366
MNT0029,2021,1.0,3945.19,365,37514765.97,365
MNT0029,2022,3.0,11835.56,365,35913020.78,365
MNT0029,2023,8.0,31561.48,365,32117752.63,365
MNT0029,2024,1.0,3945.19,366,27912185.22,366
MNT0029,2025,14.0,55232.59,365,23923602.99,365
MNT0029,2026,5.0,19725.93,174,16218656.32,174
MNT0017,2020,5.0,683470.96,366,2226338301.03,366
MNT0017,2021,63.0,9159133.7,365,1870931936.0,365
MNT0017,2022,24.0,3432094.65,365,2664465391.97,365
MNT0017,2023,9.0,1283266.88,365,4172361542.38,365
MNT0017,2024,23.0,3321599.18,366,4692564879.57,366
MNT0017,2025,23.0,3142394.78,365,4049546136.06,365
MNT0017,2026,15.0,1970609.9,174,2020400639.12,174
MNT0042,2020,1.0,122971.22,366,45745293.84,366
MNT0042,2021,4.0,491884.88,365,75873242.74,365
MNT0042,2022,3.0,368913.66,365,192449959.3,365
MNT0042,2023,2.0,245942.44,50,12297122.0,365
MNT0042,2024,1.0,122971.22,162,36645423.56,366
MNT0042,2025,8.0,983769.76,365,189990534.9,365
MNT0042,2026,2.0,227870.7,174,37331955.44,174
MNT0044,2020,5.0,511114.8,289,59084870.88,366
MNT0044,2021,2.0,204445.92,365,146281055.76,365
MNT0044,2022,2.0,204445.92,365,246152887.68,365
MNT0044,2023,2.0,204445.92,365,184716888.72,365
MNT0044,2024,1.0,102222.96,366,177663504.48,366
MNT0044,2025,1.0,102222.96,365,130845388.8,365
MNT0044,2026,2.0,204445.92,174,35164698.24,174
MNT0040,2020,2.0,36837.48,273,155472584.34,366
MNT0040,2021,3.0,55256.22,365,251784175.8,365
MNT0040,2022,4.0,103016.93,365,453179169.15,365
MNT0040,2023,4.0,112797.58,365,505417771.28,365
MNT0040,2024,6.0,169196.37,366,467010194.18,366
MNT0040,2025,11.0,310193.35,365,388615873.8,365
MNT0040,2026,4.0,112797.58,174,143760519.89,174
MNT0005,2020,5.0,2302072.44,264,350375424.61,366
MNT0005,2021,32.0,13924051.67,354,1478647227.47,365
MNT0005,2022,36.0,11719650.06,365,1420030932.27,365
MNT0005,2023,69.0,22462662.62,304,1474397086.72,365
MNT0005,2024,67.0,21811570.94,337,2249196174.02,366
MNT0005,2025,76.0,24741483.46,365,4775757399.45,365
MNT0005,2026,30.0,9766375.05,174,3729778631.6,174
MNT0023,2020,42.0,3047540.19,226,113266910.65,366
MNT0023,2021,30.0,1986790.72,220,211113908.64,365
MNT0023,2022,72.0,3978838.89,360,1125414736.68,365
MNT0023,2023,33.0,1716569.17,365,201774903.0,365
MNT0023,2024,0.0,0.0,366,57114937.16,366
MNT0023,2025,25.0,1381489.95,291,58513200.34,365
MNT0023,2026,16.0,849374.16,56,46271867.45,174
MNT0010,2020,4.0,60000.0,118,101220000.0,366
MNT0010,2021,35.0,525000.0,365,223995000.0,365
MNT0010,2022,25.0,375000.0,365,645660000.0,365
MNT0010,2023,41.0,615000.0,365,565455000.0,365
MNT0010,2024,67.0,1004589.89,366,352260285.38,366
MNT0010,2025,115.0,1881627.7,365,336406206.77,365
MNT0010,2026,57.0,1000479.15,174,134157535.06,174
MNT0037,2020,4.0,222640.0,307,35733720.0,366
MNT0037,2021,0.0,0.0,332,203270320.0,365
MNT0037,2022,2.0,111320.0,365,207723120.0,365
MNT0037,2023,3.0,166980.0,365,149725400.0,365
MNT0037,2024,0.0,0.0,366,263049160.0,366
MNT0037,2025,3.0,166980.0,365,303539255.0,365
MNT0037,2026,2.0,139245.0,174,138479152.5,174
MNT0038,2020,1.0,11023.02,366,19631998.62,366
MNT0038,2021,2.0,22046.04,365,23842792.26,365
MNT0038,2022,9.0,99207.18,339,24680541.78,365
MNT0038,2023,4.0,44092.08,207,3990333.24,365
MNT0038,2024,1.0,11023.02,133,1466061.66,366
MNT0038,2025,14.0,154322.28,191,12444989.58,365
MNT0038,2026,7.0,77161.14,79,51290112.06,174
MNT0033,2023,330.0,3191319.21,54,45658122.9,365
MNT0033,2024,1145.0,7076628.97,366,831098318.16,366
MNT0033,2025,709.0,4542191.19,222,228486528.15,365
MNT0033,2026,495.0,3047721.33,57,880260203.27,174
MNT0007,2020,1310.0,2703971.86,354,403829056.12,366
MNT0007,2021,2115.0,4193168.34,358,661422528.51,365
MNT0007,2022,2331.0,4450204.94,365,743329577.54,365
MNT0007,2023,1623.0,3483729.86,365,883432306.59,365
MNT0007,2024,2042.0,4882317.39,366,1110502109.84,366
MNT0007,2025,1896.0,4798355.75,365,523006784.24,365
MNT0007,2026,400.0,1058028.08,174,103535806.52,174
MNT0022,2020,530.0,1061983.4,341,150593467.58,366
MNT0022,2021,773.0,1489952.98,283,144442678.76,365
MNT0022,2022,1152.0,2244893.18,325,144388656.7,365
MNT0022,2023,700.0,1526366.24,365,238055440.83,365
MNT0022,2024,770.0,1725990.6,359,175690198.4,366
MNT0022,2025,798.0,1866447.35,302,99368951.19,365
MNT0022,2026,48.0,120470.01,174,113116320.03,174
MNT0035,2020,3.0,12228806.62,366,1911770101.59,366
MNT0035,2021,4.0,16305075.49,216,2388693559.77,365
MNT0035,2022,3.0,12228806.62,365,5323607148.57,365
MNT0035,2023,0.0,0.0,365,4463514416.3,365
MNT0035,2024,3.0,12228806.62,366,3464828542.33,366
MNT0035,2025,3.0,12228806.62,365,2531362970.34,365
MNT0035,2026,1.0,4076268.87,174,1186194242.14,174
MNT0020,2020,43.0,13476906.42,357,2005027243.53,366
MNT0020,2021,50.0,15109193.08,365,1403042451.97,365
MNT0020,2022,72.0,21508129.81,365,2670818143.37,365
MNT0020,2023,51.0,17630057.6,311,2177360187.7,365
MNT0020,2024,45.0,15940071.01,335,1228620025.36,366
MNT0020,2025,54.0,20088920.76,365,1933226216.44,365
MNT0020,2026,4.0,1551264.79,174,687771055.79,174
MNT0032,2020,3.0,12285841.14,366,5839869821.88,366
MNT0032,2021,3.0,12285841.14,365,6466447720.02,365
MNT0032,2022,0.0,0.0,365,4484332016.1,365
MNT0032,2023,0.0,0.0,365,4484332016.1,365
MNT0032,2024,2.0,8190560.76,366,2678313368.52,366
MNT0032,2025,6.0,24571682.28,365,5303388092.1,365
MNT0032,2026,1.0,4095280.38,174,2162308040.64,174
MNT0045,2020,3.0,134228.29,265,39821057.89,366
MNT0045,2021,9.0,402684.86,365,131543719.31,365
MNT0045,2022,9.0,402684.86,365,299463303.86,365
MNT0045,2023,9.0,402684.86,365,208098584.53,365
MNT0045,2024,2.0,89485.52,366,107114171.44,366
MNT0045,2025,7.0,313199.33,285,38389289.51,365
MNT0045,2026,2.0,89485.52,174,17449677.05,174
MNT0036,2020,13.0,421251.35,211,36942052.86,366
MNT0036,2021,13.0,419117.82,365,127444057.87,365
MNT0036,2022,10.0,322179.5,365,102703394.96,365
MNT0036,2023,4.0,128536.39,365,179276127.94,365
MNT0036,2024,31.0,1148257.38,306,100291214.2,366
MNT0036,2025,20.0,759704.83,307,192434182.99,365
MNT0036,2026,3.0,116789.77,174,140469347.59,174
MNT0004,2020,201.0,61457898.46,260,3215825720.4,366
MNT0004,2021,208.0,57750870.93,313,2126716113.82,365
MNT0004,2022,199.0,57208943.24,365,6555975405.24,365
MNT0004,2023,184.0,57590216.07,365,8324650515.91,365
MNT0004,2024,179.0,60003771.35,279,5954770793.65,366
MNT0004,2025,184.0,63380162.84,325,3092404381.57,365
MNT0004,2026,63.0,22713211.79,117,1346929511.79,174
MNT0018,2020,24.0,26627413.25,249,1361976345.22,366
MNT0018,2021,26.0,27971182.3,304,2177912045.99,365
MNT0018,2022,28.0,30303512.64,356,6298648849.44,365
MNT0018,2023,29.0,32992269.29,307,2819066884.35,365
MNT0018,2024,22.0,31009952.2,366,6420801566.73,366
MNT0018,2025,28.0,44613771.02,365,6376298968.19,365
MNT0018,2026,5.0,8034935.22,103,682969493.7,174
MNT0009,2020,9.0,25598.03,100,20728717.99,100
MNT0009,2021,136.0,376942.04,365,259660494.87,365
MNT0009,2022,401.0,1112689.62,365,352139773.49,365
MNT0009,2023,538.0,1666186.65,327,282084897.82,365
MNT0009,2024,429.0,1435070.69,366,535455867.21,366
MNT0009,2025,306.0,1027515.49,365,239569511.03,365
MNT0009,2026,115.0,401654.97,174,157243015.7,174
MNT0043,2020,1.0,43249.92,15,648748.8,78
MNT0043,2022,3.0,129749.76,161,16045720.32,365
MNT0043,2023,4.0,172999.68,179,24133455.36,365
MNT0043,2024,6.0,259499.52,134,24998453.76,366
MNT0043,2025,8.0,345999.36,86,15613221.12,365
MNT0043,2026,5.0,216249.6,104,25733702.4,174
MNT0034,2024,3.0,4401192.06,303,884639604.06,303
MNT0034,2025,11.0,15987083.4,303,2790157930.71,365
MNT0034,2026,7.0,9742275.28,174,2182269663.1,174
MNT0011,2024,42.0,369958.26,81,10570236.0,153
MNT0011,2025,50.0,212058.7,244,90073848.68,365
MNT0011,2026,69.0,169825.07,174,33760154.69,174
MNT0031,2025,4.0,10027206.36,204,3048270733.44,204
MNT0031,2026,2.0,5013603.18,174,2328818677.11,174
